cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
180,95702,26,26,1,L21,1,1974,49,580,690
180,78748,23,27,1,L5,2,1729,155,590,740
180,78653,23,27,1,L5,2,2045,155,80,650
180,47992,11,12,1,L30,1,2643,610,1050,510
240,77121,23,24,1,L27,2,3059,1097,50,1020
300,4955,1,21,1,L3,1,7051,1096,0,2680
300,3200,1,11,1,L16,1,5472,0,300,1850
360,63710,21,21,1,L9,1,2909,49,150,1060
360,28392,8,4,1,L20,1,5193,270,50,1310
360,90260,26,1,2,L20,2,9315,1730,160,2560
360,90260,1,3,3,L2,1,633,8397,220,240
360,54761,16,16,1,L17,1,5383,0,2140,1200
420,46520,11,1,1,L1,2,4817,45,1100,2590
420,9903,2,7,1,L17,2,3082,1435,1030,860
420,2691,1,12,1,L66,1,4452,924,80,1340
420,9838,2,6,1,L9,2,4777,827,450,1640
420,20924,4,8,1,L20,2,4278,142,2720,1210
420,9641,2,5,1,L7,1,2006,93,1220,530
480,95963,26,26,1,L20,1,637,410,50,100
480,70041,22,22,1,L16,1,1119,762,100,140
480,87903,26,25,1,L20,1,732,269,50,220
480,68167,22,4,1,L6,2,11775,35,0,4540
