cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,11,0,9,0
120,19,2,19,0
180,30,1,25,4
240,29,6,40,5
300,33,8,52,7
360,31,14,64,11
420,41,17,86,17
480,38,17,126,21
