ind,type,startbs,bl,endbs,dir,dist,walk
1,2,1694,L7,364,2,2020,0
1,3,364,L20,376,1,8423,96
1,3,364,L6,376,1,8378,96
1,2,1694,L9,364,1,2020,0
1,2,1678,L9,180,2,7082,283
1,3,17,L15,215,2,2637,323
1,2,1678,L7,1342,1,3335,70
1,3,1342,L4,1,2,5501,340
1,3,18,L1,1,2,9161,340
1,2,1678,L9,48,2,14625,380
1,3,50,L10,1,2,13938,340
1,2,1678,L9,41,2,11304,70
1,2,1678,L9,40,2,10800,359
1,3,214,L14,1,2,6511,340
1,2,1678,L9,1342,2,3335,70
1,2,1678,L9,188,2,14251,195
1,3,767,L5,1,2,10372,340
45,1,376,L6,2,1,1302,270
45,2,376,L20,330,1,8980,142
45,3,72,L11,2,1,9126,256
45,2,376,L20,93,1,7001,85
45,3,78,L12,2,2,7152,256
45,2,376,L20,88,1,5322,50
45,3,81,L33,506,2,4102,340
71,2,1,L19,86,1,6744,100
71,3,83,L20,380,2,2419,14
71,2,32,L6,363,2,8244,259
71,3,363,L20,376,1,8664,0
71,2,32,L11,88,2,5705,295
71,3,81,L33,506,2,4102,96
71,2,32,L12,88,1,5705,295
71,2,32,L6,381,2,1756,356
71,3,542,L24,506,2,558,96
71,2,32,L6,384,2,4641,334
71,3,618,L25,506,2,2406,96
71,3,542,L35,506,2,558,96
71,3,542,L45,506,2,558,96
71,3,375,251,506,2,626,96
71,3,372,L6,376,1,3172,0
82,1,1694,L7,1695,2,1441,372
82,1,1694,L9,1695,1,1441,372
94,1,1,L1,2,1,673,302
94,1,1,L10,2,1,673,302
94,1,1,L16,2,1,673,302
94,1,1,L19,2,1,1805,302
94,1,1,L3,2,1,673,302
94,1,1,L4,2,1,673,302
94,1,1,L5,2,1,673,302
94,1,1,L66,2,1,673,302
94,1,32,L1,1,2,666,304
94,1,32,L10,1,2,666,304
94,1,32,L14,1,2,666,304
94,1,32,L16,1,2,666,304
94,1,32,L2,1,2,666,304
94,1,32,L3,1,2,666,304
94,1,32,L4,1,2,666,304
94,1,32,L5,1,2,666,304
94,1,32,L66,1,2,666,304
94,1,32,L15,215,2,712,350
94,2,32,L11,88,2,5705,340
94,3,81,L33,506,2,4102,340
94,2,32,L12,88,1,5705,340
94,3,542,L24,506,2,558,340
94,2,32,L6,384,2,4641,379
94,3,618,L25,506,2,2406,340
94,3,542,L35,506,2,558,340
94,3,542,L45,506,2,558,340
94,2,32,L6,381,2,1756,304
94,3,375,251,506,2,626,340
94,3,78,L11,2,1,7152,256
94,3,78,L12,2,2,7152,256
94,2,506,251,543,1,3272,398
94,3,372,L6,2,1,3588,256
108,2,1694,L7,364,2,2020,0
108,3,364,L6,2,1,8794,256
108,2,1694,L9,364,1,2020,0
108,2,1678,L7,1342,1,3335,70
108,3,1342,L4,1,2,5501,0
108,3,18,L1,1,2,9161,0
108,2,1678,L9,48,2,14625,380
108,3,50,L10,1,2,13938,0
108,2,1678,L9,41,2,11304,70
108,2,1678,L9,40,2,10800,359
108,3,214,L14,1,2,6511,0
108,2,1678,L9,1342,2,3335,70
108,2,1678,L9,188,2,14251,195
108,3,767,L5,1,2,10372,0
108,2,1678,L9,180,2,7082,283
108,3,17,L15,215,2,2637,45
108,2,1678,L7,171,1,9965,327
108,3,105,L12,32,1,12598,259
108,3,1342,L4,32,2,5501,259
108,3,18,L1,32,2,9161,259
108,3,50,L10,32,2,13938,259
108,3,214,L14,32,2,6511,259
108,3,17,L15,32,2,2637,259
108,3,767,L5,32,2,10372,259
108,3,50,L6,32,2,12926,259
108,3,293,L17,32,2,4271,259
119,2,1,L19,86,1,6744,145
119,3,83,L20,380,2,2419,0
119,2,32,L6,363,2,8244,304
119,3,363,L20,376,1,8664,14
119,2,32,L11,88,2,5705,340
119,3,81,L33,506,2,4102,82
119,2,32,L12,88,1,5705,340
119,3,542,L24,506,2,558,82
119,2,32,L6,384,2,4641,379
119,3,618,L25,506,2,2406,82
119,3,542,L35,506,2,558,82
119,3,542,L45,506,2,558,82
119,2,32,L6,381,2,1756,304
119,3,375,251,506,2,626,82
119,2,506,L25,543,1,3272,398
119,2,506,251,543,1,3272,398
119,3,372,L6,376,1,3172,14
126,1,1694,L7,1695,2,1441,0
126,1,1694,L9,1695,1,1441,0
173,2,380,L20,363,2,7465,132
173,3,862,L7,1680,1,2631,81
