bl1,bl2,bs1,bs2,dir1,dir2,condist
L10,L25,1,506,2,1,529
L10,L25,1,506,2,2,529
L10,L26,18,619,1,1,220
L10,L26,18,619,1,2,220
L10,L26,66,619,2,1,435
L10,L26,66,619,2,2,435
L10,L261,18,619,1,1,220
L10,L261,18,619,1,2,220
L10,L261,66,619,2,1,435
L10,L261,66,619,2,2,435
L10,L262,18,619,1,1,220
L10,L262,18,619,1,2,220
L10,L262,66,619,2,1,435
L10,L262,66,619,2,2,435
L10,L27,18,180,1,1,395
L10,L27,46,187,1,1,441
L10,L27,18,180,1,2,395
L10,L27,46,768,1,2,473
L10,L27,52,741,2,1,127
L10,L27,57,407,2,1,826
L10,L27,52,767,2,2,127
L10,L27,57,463,2,2,1746
L10,L28,18,771,1,1,74
L10,L28,18,771,1,2,74
L10,L28,66,771,2,1,289
L10,L28,66,771,2,2,289
L10,L3,36,987,1,2,924
L10,L3,65,5,2,1,505
L10,L3,65,29,2,2,605
L10,L30,35,991,1,1,332
L10,L30,35,991,1,2,332
L10,L30,61,992,2,1,592
L10,L30,61,995,2,2,592
L10,L33,1,506,2,1,529
L10,L33,1,506,2,2,529
L10,L35,1,506,2,1,529
L10,L35,1,506,2,2,529
L10,L36,18,619,1,1,220
L10,L36,18,619,1,2,220
L10,L36,66,619,2,1,435
L10,L36,66,619,2,2,435
L10,L38,18,18,1,1,0
L10,L38,18,18,1,2,0
L10,L38,66,18,2,1,215
L10,L38,66,18,2,2,215
L10,L4,66,18,2,1,215
L10,L4,66,66,2,2,0
L10,L43,18,18,1,1,0
L10,L43,18,18,1,2,0
L10,L43,57,407,2,1,826
L10,L43,57,463,2,2,1746
L10,L44,18,1508,1,1,261
L10,L44,18,17,1,2,300
L10,L44,66,1508,2,1,476
L10,L44,66,17,2,2,515
L10,L441,18,1508,1,1,261
L10,L441,18,17,1,2,300
L10,L441,66,1508,2,1,476
L10,L441,66,17,2,2,515
L10,L45,1,506,2,1,529
L10,L45,1,506,2,2,529
L10,L5,46,187,1,1,441
L10,L5,46,768,1,2,473
L10,L5,52,741,2,1,127
L10,L5,57,407,2,1,826
L10,L5,52,767,2,2,127
L10,L5,57,463,2,2,1746
