ind,type,startbs,bl,endbs,dir,dist,walk
1895,3,619,L36,316,1,2593,2596
1895,2,1,L2,345,1,2713,4085
1895,2,1,L4,1328,1,3960,1522
1895,2,32,L11,86,2,3163,6812
1895,2,1,L1,17,1,7730,2891
1895,2,1,L14,189,1,6937,7194
1895,2,1,L16,18,1,3045,2998
1895,2,32,L11,97,2,8881,12477
1895,2,1,L14,18,1,2839,2998
1895,3,111,L7,177,2,2567,5604
1895,2,32,L6,386,2,5320,9172
1895,2,1,L3,5,1,3429,4040
1895,3,1680,L7,316,1,4314,3438
1895,2,1,L1,5,1,2596,4040
1895,3,111,L13,176,2,2031,5789
1895,2,506,L33,120,1,6916,11348
1895,2,2,L12,144,2,6887,1935
1895,3,18,L18,163,1,3024,2135
1895,2,376,L20,331,1,9280,12805
1895,3,18,L13,164,1,4531,1922
1895,2,2,L11,18,1,1547,3256
1895,3,18,L18,316,1,2671,2376
1895,2,1,L19,89,1,10036,9100
1895,3,18,L18,164,1,3139,1922
1895,2,1,L16,5,1,3429,4040
1895,3,18,L18,165,1,4375,2037
1895,3,1680,L7,164,1,4782,2984
2032,3,18,L12,144,2,5340,4009
2032,3,310,L18,144,1,7157,5690
2032,3,58,L13,145,1,12312,8495
2032,2,1678,L9,41,2,10878,6821
2032,3,58,L13,144,1,11892,8587
2032,2,1678,L9,35,2,7506,4706
2032,3,310,L18,145,1,7577,5598
2032,3,18,L12,145,2,5760,3917
2032,3,58,L13,168,1,11503,8767
2032,1,1678,L7,145,1,8439,327
2032,2,1678,L9,180,2,6656,4164
2032,3,310,L18,168,1,6768,5870
2082,2,1,L10,44,1,8256,8554
2082,2,1,L16,18,1,3045,2997
2082,3,1680,L9,1682,2,2006,3326
2082,3,1680,L7,1682,1,2006,3326
2082,2,1,L1,17,1,7730,2890
2082,2,1,L3,953,1,7051,6579
2082,2,2,L6,18,1,2788,3254
2082,2,1,L3,18,1,3045,2997
2082,2,1,L19,18,1,3046,2997
2082,2,1,L5,18,1,2838,2997
2082,2,1,L14,18,1,2839,2997
2082,3,1680,L9,1342,2,2303,3079
2082,3,65,L9,1331,1,4142,2082
2082,3,1680,L7,1343,1,2692,3376
2082,2,1,L10,18,1,2838,2997
2082,2,2,L17,18,1,2446,3254
2082,2,1,L66,18,1,2838,2997
2082,2,2,L6,1646,1,7005,6736
2082,3,1680,L7,1342,1,2303,3079
2082,3,111,L7,1331,2,5074,5741
2082,2,1,L1,5,1,2596,4039
2082,2,1,L2,345,1,2713,2523
2082,2,2,L12,18,2,2384,3254
2082,3,1680,L9,1343,2,2692,3376
2082,3,111,L7,1690,2,6378,6016
2082,2,32,L6,387,2,5598,7829
2082,3,65,L9,1330,1,3737,2407
2082,2,1,L5,741,1,10693,8872
2082,3,65,L9,1690,1,5446,2357
2082,2,380,L20,387,2,4819,7777
2082,2,215,L15,18,1,4481,3042
2082,2,2,L11,18,1,1547,3254
2082,1,1,L4,1332,1,5169,47
2082,2,380,L20,386,2,4541,7558
2082,2,2,L17,262,1,4163,1873
2082,2,2,L12,144,2,6887,3405
2082,2,32,L6,386,2,5320,7610
2082,3,111,L7,1330,2,4669,6066
2086,3,58,L13,164,1,9687,8636
2086,2,1677,L9,41,2,11340,8297
2086,3,58,L13,163,1,9572,8989
2086,3,58,L13,162,1,9219,9397
2086,3,310,L18,165,1,6188,5853
2086,1,1677,L7,164,1,6276,905
2086,2,1677,L9,35,2,7968,5265
2086,3,310,L18,316,1,4484,6332
2086,3,310,L18,164,1,4952,5738
2086,3,58,L13,165,1,10923,8751
2086,3,310,L18,163,1,4837,6091
2396,2,1,L3,5,1,3429,3789
2396,2,380,L20,386,2,4541,8258
2396,3,301,L18,316,1,13671,8396
2396,2,1,L1,17,1,7730,2639
2396,2,1,L66,35,1,3688,4083
2396,2,1,L66,18,1,2838,2746
2396,2,1,L4,18,1,2406,2746
2396,2,376,L6,18,1,3674,2146
2396,2,1,L3,18,1,3045,2746
2396,2,1,L5,18,1,2838,2746
2396,2,1,L1,5,1,2596,3789
2396,3,619,L36,314,1,2018,2981
2396,2,215,L15,18,1,4481,2700
2396,2,1,L2,345,1,2713,4451
2396,2,1,L4,1328,1,3960,1288
2396,3,619,L36,316,1,2593,3037
2396,2,1,L16,18,1,3045,2746
2396,3,1674,L7,316,1,9258,4210
2396,3,301,L18,315,1,13430,8599
2396,2,1,L19,89,1,10036,8848
2396,2,1,L5,35,1,3688,4083
2396,3,1674,L7,314,1,8815,4154
2396,3,301,L18,314,1,13228,8340
2396,3,619,L36,315,1,2220,3240
2396,2,506,L33,120,1,6916,10129
2396,2,1,L14,18,1,2839,2746
2396,2,1,L10,18,1,2838,2746
2396,3,1674,L7,315,1,9017,4413
2396,2,1,L19,18,1,3046,2746
2396,2,376,L6,5,1,4058,3189
2396,2,376,L20,331,1,9280,11416
2415,1,1,L1,9,1,4431,614
2639,3,180,L23,222,1,2715,3066
2639,1,1,L1,7,1,3664,1486
2639,2,1,L19,336,1,5540,1522
2639,2,1,L10,18,1,2838,3104
2639,1,1,L3,948,1,4411,1470
2639,2,1,L14,35,1,3689,1716
2639,2,1,L5,38,1,5444,3033
2639,2,1,L10,35,1,3688,1716
2639,2,1,L14,18,1,2839,3104
2639,2,1,L4,18,1,2406,3104
2639,3,991,L30,990,2,3089,3635
2639,2,1,L66,38,1,5444,3033
2639,1,376,L6,7,1,5253,886
2639,2,215,L15,18,1,4481,3058
2639,3,991,L30,996,2,4130,3291
2639,1,1,L16,222,1,4705,950
2639,2,1,L19,18,1,3046,3104
2691,2,1678,L9,38,2,9262,2535
2691,3,18,L3,948,1,2607,4493
2691,3,18,L6,949,1,3663,4278
2691,3,62,L30,990,2,4285,6549
2691,2,1678,L9,1647,2,11888,3328
2691,2,1678,L9,34,2,7157,1605
2691,2,1678,L9,180,2,6656,2420
2691,3,18,L16,222,1,2901,3966
2691,3,18,L6,7,1,2820,4502
2691,3,62,L30,996,2,5326,6204
2691,3,18,L3,949,1,3450,4278
2691,3,5,L1,7,1,1452,5576
2691,3,987,L6,988,2,1129,6090
2691,2,1678,L9,36,2,8270,1283
2691,3,983,L3,988,2,3138,8100
2734,2,1678,L9,38,2,9262,1684
2734,2,1678,L9,1647,2,11888,1683
2734,3,18,L3,951,1,3975,3668
2734,3,62,L30,951,2,3941,6167
2734,3,18,L6,950,1,3855,3860
2734,3,18,L3,950,1,3642,3860
2734,2,1678,L9,180,2,6656,3094
2734,3,18,L6,952,1,5009,4001
2734,3,983,L3,985,2,1269,7259
2734,3,983,L3,984,2,1054,7614
2734,3,18,L3,952,1,4897,4001
2734,3,18,L6,951,1,4188,3668
2734,3,983,L3,986,2,2009,7474
2851,2,1,L4,18,1,2406,3883
2851,2,1,L19,18,1,3046,3883
2851,2,376,L6,18,1,3674,3255
2851,3,1508,L44,23,1,2839,3253
2851,2,1,L10,18,1,2838,3883
2851,2,1,L5,18,1,2838,3883
2851,3,18,L38,1181,1,3990,2854
2851,3,18,L38,23,1,3023,2992
2851,2,1,L14,18,1,2839,3883
2851,2,1,L16,18,1,3045,3883
2851,3,1508,L441,1578,1,3975,3168
2851,3,1508,L441,1577,1,2839,3253
2851,3,1508,L44,216,1,3975,3168
2851,1,215,L15,23,1,5074,1224
2851,1,1,L1,10,1,4701,628
2851,2,1,L3,18,1,3045,3883
2851,2,1,L66,18,1,2838,3883
2891,3,990,L30,225,2,2144,3424
2891,3,180,L23,226,1,4437,2318
2891,2,1,L19,18,1,3046,3976
2891,2,1,L10,18,1,2838,3976
2891,2,2,L17,18,1,2446,4234
2891,2,2,L6,7,1,4367,2357
2891,2,2,L11,18,1,1547,4234
2891,3,254,L30,256,1,1327,5897
2891,3,501,L23,255,2,2820,7467
2891,2,1,L14,35,1,3689,2877
2891,3,501,L23,256,2,3201,7773
2891,2,1,L66,38,1,5444,2692
2891,2,1,L19,336,1,5540,2683
2891,3,990,L30,226,2,2768,3236
2891,2,1,L10,35,1,3688,2877
2891,2,2,L12,18,2,2384,4234
2891,2,215,L15,18,1,4481,3931
2891,2,1,L5,38,1,5444,2692
2891,2,1,L1,17,1,7730,3897
2891,2,1,L14,18,1,2839,3976
2891,2,1,L3,468,1,10467,2562
2891,2,2,L6,949,1,5210,2604
2891,1,1,L16,226,1,6427,116
2891,2,1,L1,5,1,2596,2734
2891,2,1,L3,955,1,7642,1202
2891,2,1,L3,948,1,4411,2089
2891,2,1,L1,6,1,3046,2349
2891,3,180,L23,225,1,3813,2506
2891,3,254,L30,255,1,946,5591
2891,2,1,L4,18,1,2406,3976
2941,2,1,L5,38,1,5444,1606
2941,2,1,L66,38,1,5444,1606
2941,2,1,L16,6,1,4215,1649
2941,1,2,L6,951,1,5735,257
2941,2,1,L1,6,1,3046,1649
2941,2,1,L10,35,1,3688,1815
2941,2,1,L19,336,1,5540,1621
2941,1,1,L3,951,1,5779,0
2941,3,991,L30,951,2,2745,2841
2941,3,990,L30,951,1,2745,3119
2941,2,1,L14,35,1,3689,1815
2984,2,1,L5,38,1,5444,2704
2984,3,990,L30,226,2,2768,3497
2984,2,1,L4,18,1,2406,3624
2984,3,990,L30,224,2,1813,3500
2984,3,5,L23,224,1,2427,2596
2984,3,254,L30,257,1,2330,5926
2984,2,1,L3,948,1,4411,1738
2984,2,215,L15,18,1,4481,3669
2984,3,501,L23,257,2,3540,7802
2984,2,1,L3,468,1,10467,2823
2984,2,2,L17,18,1,2446,3881
2984,2,1,L19,18,1,3046,3624
2984,2,1,L14,18,1,2839,3624
2984,2,2,L12,18,2,2384,3881
2984,3,501,L23,256,2,3201,7421
2984,2,2,L11,18,1,1547,3881
2984,2,1,L14,35,1,3689,2525
2984,2,1,L10,35,1,3688,2525
2984,2,1,L19,336,1,5540,2331
2984,2,1,L1,6,1,3046,1997
2984,2,1,L66,38,1,5444,2704
2984,2,1,L1,5,1,2596,2382
2984,3,501,L23,255,2,2820,7727
2984,2,2,L6,7,1,4367,2004
2984,3,254,L30,256,1,1327,5545
2984,2,2,L6,949,1,5210,2252
2984,1,1,L16,225,1,5803,46
2984,2,1,L10,18,1,2838,3624
2984,2,1,L1,17,1,7730,3545
2984,3,254,L30,255,1,946,5851
2984,2,1,L3,955,1,7642,1464
2984,3,5,L23,226,1,3382,2593
2984,3,5,L23,225,1,2758,2261
2984,3,990,L30,225,2,2144,3165
2990,2,1,L4,18,1,2406,2948
2990,2,1,L5,38,1,5444,2908
2990,2,1,L3,468,1,10467,3590
2990,2,1,L1,17,1,7730,2869
2990,2,1,L3,948,1,4411,1062
2990,1,1,L16,223,1,5044,45
2990,3,990,L30,224,2,1813,3504
2990,3,180,L23,222,1,2715,2737
2990,3,180,L23,223,1,3054,2247
2990,2,2,L12,18,2,2384,3206
2990,2,1,L1,5,1,2596,1706
2990,2,1,L14,18,1,2839,2948
2990,2,1,L1,6,1,3046,1321
2990,2,215,L15,18,1,4481,2903
2990,2,2,L17,18,1,2446,3206
2990,3,180,L23,224,1,3482,2586
2990,2,1,L10,18,1,2838,2948
2990,3,254,L30,257,1,2330,5930
2990,2,2,L6,7,1,4367,1329
2990,3,501,L23,505,2,4093,7467
2990,2,2,L11,18,1,1547,3206
2990,2,1,L19,336,1,5540,1655
2990,3,501,L23,257,2,3540,7806
2990,2,1,L14,35,1,3689,1849
2990,2,2,L6,949,1,5210,1576
2990,2,1,L3,955,1,7642,2230
2990,2,1,L10,35,1,3688,1849
2990,2,1,L66,38,1,5444,2908
2990,2,1,L19,18,1,3046,2948
3067,2,1677,L9,180,2,7118,3978
3067,3,105,L12,114,1,4312,9470
3067,3,5,L1,11,1,2902,5419
3067,3,5,L1,10,1,2489,5689
3067,3,18,L12,141,2,4010,4843
3067,2,1677,L9,34,2,7619,4031
3067,2,1677,L9,321,2,5735,3798
3067,3,18,L15,216,1,7321,4058
3067,3,18,L15,23,1,3222,4532
3067,2,1677,L7,171,1,10427,3569
3069,1,1,L16,222,1,4705,108
3069,1,2,L6,7,1,4367,776
3069,2,1,L4,18,1,2406,2394
3069,2,1,L14,18,1,2839,2394
3069,2,1,L10,35,1,3688,1409
3069,2,1,L10,18,1,2838,2394
3069,1,1,L1,7,1,3664,518
3069,3,991,L30,996,2,4130,3286
3069,2,1,L19,18,1,3046,2394
3069,2,1,L14,35,1,3689,1409
3069,2,1,L66,38,1,5444,2745
3069,2,2,L11,18,1,1547,2652
