cycle,ind,origin,destin,bttype,bl,dir,dist,walk,wtt,tpt
780,92678,26,7,1,L18,1,7069,452,430,1980
780,8436,1,26,1,L20,1,8980,234,50,2360
780,95533,26,26,1,L20,1,1326,269,190,420
780,77033,23,23,1,L13,2,1894,953,1900,590
780,84197,26,7,2,L18,1,9027,6124,30,2580
780,84197,6,1,3,L9,1,6278,9964,1050,3040
780,62425,21,7,2,L6,2,7523,5873,660,2300
780,62425,1,9,3,L4,1,6186,5635,1430,2320
780,69068,22,7,2,L16,2,5431,5000,1660,1800
780,69068,1,9,3,L4,1,6186,6004,2080,1770
780,97102,27,7,1,L5,2,7953,928,180,2350
780,94185,26,1,2,L20,2,9315,9035,160,2590
780,94185,27,23,3,L5,1,3249,5637,1050,3550
780,56078,19,19,1,L16,2,946,397,70,110
780,64319,21,23,1,L13,2,2393,747,2350,860
780,2276,1,10,1,L7,1,7145,1413,400,2810
780,88857,26,1,1,L20,2,8514,0,3220,2400
780,22890,4,26,1,L20,1,9921,108,380,2840
780,43860,5,1,1,L9,1,5662,1166,790,1860
780,95282,26,25,1,L20,1,2034,98,680,810
780,79309,24,1,1,L5,2,8270,0,980,2920
780,96397,27,1,1,L14,2,7206,0,1810,2700
780,57480,21,21,2,L9,1,1214,6574,4070,430
780,57480,7,1,3,L14,2,3015,4225,640,2370
780,11034,2,5,2,L7,1,4097,2878,570,1470
780,11034,5,9,3,L4,1,2714,3591,60,1220
780,25423,10,7,2,L9,2,1672,7441,60,380
780,25423,6,24,3,L66,1,7509,1182,780,2720
780,98569,27,27,1,L43,2,1417,1108,70,380
780,89386,26,7,2,L11,1,7769,1937,90,2220
780,89386,1,3,3,L2,1,1834,6672,320,1430
780,73975,23,1,2,L5,2,10097,1531,3640,3260
780,73975,1,4,3,L24,1,1949,8616,10,210
780,77107,23,23,1,L6,1,1041,0,310,270
780,51345,12,8,1,L9,1,9751,403,1260,3520
780,23688,5,8,1,L9,1,5753,298,40,1740
840,27271,8,8,2,L29,2,1978,999,620,510
840,27271,8,1,3,L7,1,1329,2110,2170,380
840,15626,2,6,2,L262,2,1237,6854,370,480
840,15626,7,24,3,L22,1,6754,1700,1360,2090
840,53027,16,6,1,L17,2,11003,1602,30,2640
840,66603,22,1,1,L16,2,7435,812,670,2660
840,58443,22,1,1,L16,2,6656,1412,1120,2210
840,46485,11,1,1,L16,2,4990,0,2730,1800
840,22738,4,26,1,L20,1,8582,0,580,2150
840,57593,21,1,1,L10,2,7571,628,1060,2890
840,96858,27,7,2,L22,2,5306,1516,190,1970
840,96858,6,2,3,L28,1,2007,5481,1950,440
840,24692,6,7,2,L23,2,1729,1605,120,960
840,24692,6,2,3,L28,1,2007,3036,1830,440
840,96930,27,7,2,L14,2,7460,1820,30,2640
840,96930,6,2,3,L28,1,2007,7301,840,440
840,29042,8,11,1,L6,1,10165,585,80,3890
840,76737,23,21,1,L6,2,1999,0,230,790
840,70190,23,23,1,L5,2,836,613,2000,260
840,86445,25,7,2,L18,1,10481,4037,120,3130
840,86445,7,2,3,L9,1,6313,9670,110,2520
840,18354,3,3,2,L2,2,1284,4159,2030,1180
840,18354,1,10,3,L15,1,5074,2004,1310,1390
840,65281,21,26,1,L21,2,7857,588,2800,1940
840,25600,7,1,1,L66,2,1225,0,120,420
840,85281,25,25,2,L21,2,1748,8912,1760,400
840,85281,25,7,3,L18,1,10593,1583,70,3130
