cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,0,0,0.0,0.0,0.0
0,4,0,0,0.0,0.0,0.0
0,3,2,0,0.0,0.0,0.0
0,2,1,0,0.0,0.0,0.0
0,5,0,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,0,0,0.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0
0,11,2,0,0.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0
0,22,2,0,0.0,0.0,0.0
0,21,3,0,0.0,0.0,0.0
0,27,0,0,0.0,0.0,0.0
0,24,1,0,0.0,0.0,0.0
0,23,1,0,0.0,0.0,0.0
0,13,0,0,0.0,0.0,0.0
0,9,2,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,0,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,0,0,0.0,0.0,0.0
0,26,2,0,0.0,0.0,0.0
0,25,1,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,1,0,0.0,0.0,0.0
0,16,1,0,0.0,0.0,0.0
0,15,0,0,0.0,0.0,0.0
60,1,1,0,434.99999999999994,10.0,0.0
60,4,0,0,40.0,0.0,0.0
60,3,2,0,83.33333333333336,0.0,0.0
60,2,3,0,100.0,0.0,0.0
60,5,1,0,0.0,0.0,0.0
60,6,1,0,626.6666666666667,0.0,270.0
60,7,1,0,1468.3333333333355,0.0,90.0
60,12,0,0,45.0,0.0,0.0
60,11,1,0,80.0,20.0,0.0
60,10,1,0,153.33333333333334,0.0,180.0
60,22,2,0,0.0,10.0,0.0
60,21,5,0,69.99999999999999,15.0,0.0
60,27,0,0,40.0,0.0,30.0
60,24,2,0,0.0,10.0,0.0
60,23,0,0,75.0,10.0,0.0
60,13,0,0,58.33333333333332,0.0,0.0
60,9,4,0,35.0,0.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,2,0,391.6666666666668,0.0,0.0
60,14,0,0,60.0,0.0,0.0
60,20,0,0,75.0,0.0,0.0
60,26,2,0,85.0,0.0,0.0
60,25,1,0,65.0,20.0,0.0
60,18,0,0,215.0,0.0,30.0
60,19,0,0,10.0,10.0,0.0
60,16,1,0,0.0,10.0,0.0
60,15,0,0,0.0,0.0,0.0
120,1,1,0,545.0,10.0,0.0
120,4,0,0,40.0,0.0,0.0
120,3,1,0,415.00000000000006,20.0,0.0
120,2,4,0,175.0,0.0,0.0
120,5,3,0,30.0,0.0,0.0
120,6,0,0,963.3333333333327,20.0,510.0
120,7,0,0,2253.333333333336,0.0,180.0
120,12,1,0,465.0000000000002,0.0,0.0
120,11,0,0,218.33333333333326,30.0,30.0
120,10,2,0,600.0000000000002,10.0,300.0
120,22,3,0,45.0,10.0,0.0
120,21,6,0,323.33333333333337,35.0,0.0
120,27,0,0,130.0,0.0,30.0
120,24,3,0,36.666666666666664,10.0,0.0
120,23,2,0,174.99999999999994,10.0,0.0
120,13,1,0,133.33333333333334,0.0,0.0
120,9,5,0,35.0,0.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,2,0,736.6666666666661,20.0,0.0
120,14,0,0,140.0,0.0,0.0
120,20,0,0,225.0,0.0,30.0
120,26,1,0,275.0,15.0,0.0
120,25,2,0,169.99999999999997,40.0,0.0
120,18,0,0,341.6666666666667,0.0,60.0
120,19,0,0,45.0,10.0,0.0
120,16,1,0,430.00000000000017,10.0,60.0
120,15,0,0,33.33333333333333,0.0,0.0
180,1,4,0,615.0,10.0,0.0
180,4,0,0,40.0,0.0,0.0
180,3,1,0,871.6666666666661,20.0,0.0
180,2,5,0,210.0,0.0,0.0
180,5,3,0,70.0,0.0,0.0
180,6,0,0,1510.0000000000016,20.0,750.0
180,7,1,0,3209.999999999993,10.0,270.0
180,12,1,0,923.333333333332,0.0,0.0
180,11,2,0,396.6666666666667,45.0,120.0
180,10,2,0,883.3333333333329,30.0,300.0
180,22,4,0,75.0,20.0,0.0
180,21,5,0,511.66666666666697,65.0,0.0
180,27,0,0,444.16666666666674,15.0,30.0
180,24,7,0,41.666666666666664,10.0,0.0
180,23,2,0,214.99999999999994,30.0,0.0
180,13,1,0,259.9999999999999,0.0,0.0
180,9,5,0,75.0,25.0,0.0
180,17,0,0,0.0,0.0,0.0
180,8,1,0,1039.999999999998,40.0,0.0
180,14,0,0,170.0,0.0,0.0
180,20,0,0,452.5,0.0,30.0
180,26,4,0,440.0,20.0,0.0
180,25,0,0,244.99999999999997,60.0,0.0
180,18,0,0,360.00000000000006,0.0,150.0
180,19,0,0,85.0,10.0,30.0
180,16,0,0,606.666666666667,20.0,180.0
180,15,0,0,209.99999999999997,0.0,0.0
240,1,6,0,815.0,30.0,60.0
240,4,0,0,68.33333333333333,0.0,0.0
240,3,2,0,1051.6666666666656,25.0,0.0
240,2,3,0,315.0,70.0,0.0
240,5,3,0,70.0,0.0,0.0
240,6,0,0,2090.0000000000036,20.0,1110.0
240,7,1,0,4209.999999999988,10.0,300.0
240,12,0,0,1818.3333333333358,10.0,30.0
240,11,3,0,451.6666666666667,55.0,180.0
240,10,3,0,1558.333333333336,50.0,480.0
240,22,3,0,90.0,50.0,0.0
240,21,6,0,679.9999999999995,80.0,0.0
240,27,0,0,810.8333333333327,30.0,30.0
240,24,6,0,116.66666666666667,15.0,30.0
240,23,0,0,378.3333333333335,60.0,0.0
240,13,0,0,500.00000000000034,10.0,30.0
240,9,5,0,110.0,35.0,30.0
240,17,0,0,0.0,0.0,0.0
240,8,5,0,1188.3333333333328,50.0,0.0
240,14,0,0,220.0,0.0,0.0
240,20,0,0,885.0,10.0,60.0
240,26,2,0,660.0,20.0,0.0
240,25,0,0,325.0,80.0,0.0
240,18,0,0,370.00000000000006,0.0,150.0
240,19,0,0,269.16666666666663,10.0,30.0
240,16,1,0,731.666666666667,20.0,180.0
240,15,0,0,209.99999999999997,0.0,0.0
300,1,6,0,1089.9999999999998,70.0,90.0
300,4,2,0,115.0,0.0,0.0
300,3,3,0,1051.6666666666656,25.0,0.0
300,2,3,0,405.00000000000006,70.0,0.0
300,5,2,0,220.0,15.0,30.0
300,6,2,0,2699.999999999998,30.0,1440.0
300,7,1,0,5503.333333333345,30.0,480.0
300,12,1,0,3064.9999999999873,25.0,30.0
300,11,2,0,564.9999999999999,65.0,270.0
300,10,1,0,2243.333333333336,85.0,690.0
300,22,5,0,155.0,55.0,0.0
300,21,10,0,918.333333333332,110.0,0.0
300,27,2,0,957.4999999999993,40.0,30.0
300,24,6,0,123.33333333333334,15.0,30.0
300,23,2,0,496.66666666666697,60.0,0.0
300,13,0,0,753.3333333333327,10.0,90.0
300,9,5,0,190.0,55.0,60.0
300,17,0,0,0.0,0.0,0.0
300,8,6,0,1445.000000000002,60.0,0.0
300,14,0,0,230.0,0.0,0.0
300,20,0,0,1400.0,10.0,60.0
300,26,2,0,830.0,25.0,0.0
300,25,0,0,390.0,80.0,0.0
300,18,0,0,370.00000000000006,0.0,150.0
300,19,0,0,352.50000000000006,10.0,30.0
300,16,1,0,1016.6666666666663,20.0,180.0
300,15,0,0,310.00000000000006,0.0,0.0
