cycle,tt1l,tt2l,wt1l,wt2l
0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0
180,240.0,0.0,1090.0,0.0
240,977.5,0.0,692.5,0.0
300,1102.5,0.0,687.5,0.0
360,1220.0,0.0,470.0,0.0
420,1422.6315789473683,1855.0,516.3157894736842,695.0
480,1493.75,2912.0,519.1666666666666,610.0
540,1459.655172413793,3092.222222222222,703.7931034482758,853.3333333333334
600,1674.7619047619048,3038.5714285714284,738.0952380952381,969.2857142857143
660,1904.5098039215686,3097.5,802.7450980392157,1071.0
720,1948.3870967741937,3393.125,878.5483870967741,1049.6875
780,1970.0,3351.25,805.1282051282051,1064.75
840,1986.8539325842696,3373.6,790.7865168539325,1079.0
