cycle,pduzone,w_people,w_time,traf_del,pass_del,sign_del
0,1,2,0,0.0,0.0,0.0
0,4,0,0,0.0,0.0,0.0
0,3,0,0,0.0,0.0,0.0
0,2,3,0,0.0,0.0,0.0
0,5,0,0,0.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0
0,7,0,0,0.0,0.0,0.0
0,12,1,0,0.0,0.0,0.0
0,11,0,0,0.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0
0,22,1,0,0.0,0.0,0.0
0,21,2,0,0.0,0.0,0.0
0,27,0,0,0.0,0.0,0.0
0,24,1,0,0.0,0.0,0.0
0,23,4,0,0.0,0.0,0.0
0,13,1,0,0.0,0.0,0.0
0,9,0,0,0.0,0.0,0.0
0,17,0,0,0.0,0.0,0.0
0,8,2,0,0.0,0.0,0.0
0,14,0,0,0.0,0.0,0.0
0,20,0,0,0.0,0.0,0.0
0,26,2,0,0.0,0.0,0.0
0,25,0,0,0.0,0.0,0.0
0,18,0,0,0.0,0.0,0.0
0,19,0,0,0.0,0.0,0.0
0,16,0,0,0.0,0.0,0.0
0,15,0,0,0.0,0.0,0.0
60,1,2,0,444.99999999999994,0.0,0.0
60,4,0,0,40.0,0.0,0.0
60,3,1,0,83.33333333333336,0.0,0.0
60,2,3,0,95.0,10.0,0.0
60,5,0,0,0.0,0.0,0.0
60,6,0,0,626.6666666666667,0.0,330.0
60,7,0,0,1463.3333333333355,0.0,60.0
60,12,1,0,45.0,0.0,0.0
60,11,0,0,74.99999999999999,0.0,60.0
60,10,3,0,168.33333333333334,0.0,120.0
60,22,1,0,0.0,10.0,0.0
60,21,6,0,76.66666666666666,0.0,0.0
60,27,1,0,40.0,0.0,30.0
60,24,2,0,0.0,10.0,0.0
60,23,4,0,75.0,20.0,0.0
60,13,1,0,58.33333333333332,0.0,0.0
60,9,1,0,35.0,0.0,0.0
60,17,0,0,0.0,0.0,0.0
60,8,3,0,391.6666666666668,10.0,0.0
60,14,0,0,60.0,0.0,0.0
60,20,0,0,75.0,0.0,0.0
60,26,3,0,85.0,0.0,0.0
60,25,0,0,65.0,10.0,0.0
60,18,0,0,215.0,0.0,0.0
60,19,0,0,10.0,0.0,0.0
60,16,0,0,0.0,10.0,0.0
60,15,0,0,0.0,0.0,0.0
120,1,3,0,555.0,0.0,0.0
120,4,0,0,40.0,0.0,0.0
120,3,3,0,425.00000000000006,0.0,0.0
120,2,3,0,175.0,20.0,0.0
120,5,1,0,45.0,0.0,0.0
120,6,0,0,968.3333333333327,0.0,480.0
120,7,0,0,2243.333333333336,0.0,90.0
120,12,1,0,465.0000000000002,0.0,0.0
120,11,1,0,218.33333333333323,0.0,90.0
120,10,1,0,596.6666666666671,20.0,330.0
120,22,3,0,45.0,10.0,0.0
120,21,9,0,318.33333333333337,40.0,0.0
120,27,0,0,130.0,10.0,30.0
120,24,2,0,26.666666666666664,10.0,0.0
120,23,1,0,174.99999999999994,50.0,0.0
120,13,1,0,133.33333333333334,0.0,0.0
120,9,0,0,35.0,0.0,0.0
120,17,0,0,0.0,0.0,0.0
120,8,3,0,729.9999999999994,20.0,0.0
120,14,0,0,140.0,0.0,0.0
120,20,1,0,225.0,0.0,0.0
120,26,3,0,275.0,20.0,0.0
120,25,0,0,169.99999999999997,10.0,0.0
120,18,0,0,341.6666666666667,10.0,30.0
120,19,0,0,45.0,0.0,0.0
120,16,1,0,430.00000000000017,10.0,30.0
120,15,0,0,33.33333333333333,0.0,0.0
180,1,4,0,625.0,10.0,0.0
180,4,0,0,40.0,0.0,0.0
